Está satisfeito com a ferramenta DreamShaper?,Positivos:Aspecto Visual,Positivos:Navegação na Ferramenta,Positivos:Perguntas,Positivos:Exemplos,Positivos:Vídeos,Positivos:Modelo de Negócios,Positivos:Indicações de Interface,Positivos:Mural de Equipa,Positivos:Gestão de Equipa,Positivos:Gestão de Projectos,Negativos:Aspecto Visual,Negativos:Navegação na Ferramenta,Negativos:Perguntas,Negativos:Exemplos,Negativos:Vídeos,Negativos:Modelo de Negócios,Negativos:Indicações de Interface,Negativos:Mural de Equipa,Negativos:Gestão de Equipa,Negativos:Gestão de Projectos,Quanto aprendeu com a DreamShaper?
3,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,4
4,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,3
4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
3,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,4
4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,2
3,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4
3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4
4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
4,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5
3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4
4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5
4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3
3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3
3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5
4,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,4
4,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,5
4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
4,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3
2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
4,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,4
3,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,3
3,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,4
4,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,5
2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2
4,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,4
4,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,4
4,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,5
4,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4
4,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,4
3,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3
3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,3
4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
4,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,4
4,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,5
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3
4,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,3
4,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,4
3,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4
3,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3
3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,5
3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
4,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,4
4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4
4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4
3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2
3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3
4,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4
4,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,4
4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
3,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3
3,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,4
3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2
4,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,5
4,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,4
4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3
2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3
3,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,4
4,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,3
4,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
3,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3
1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3
3,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,3
3,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,3
3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3
3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,3
4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,4
4,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,4
4,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,5
3,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,3
4,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,4
4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,4
3,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,3
2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,2
3,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
3,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,4
3,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,3
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
4,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4
4,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,4
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,4
4,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,4
4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
4,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,4
3,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,4
3,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,3
3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,3
4,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,5
4,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
4,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,4
4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2
2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3
4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,5
4,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,4
3,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3
4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3
1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1
4,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
2,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,3
4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,4
4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4
3,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3
4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4
3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,3
4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,4
4,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,5
3,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3
3,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4
4,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5
4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,5
3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,4
2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3
4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,4
2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3
3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
4,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2
4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3
4,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,4
3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3
4,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4
2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4
4,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,3
4,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4
4,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,5
4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,4
4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4
2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3
2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,3
4,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3
4,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,3
4,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,5
4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,4
3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3
3,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4
3,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
4,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,5
3,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,4
4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,4
2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3
4,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,3
2,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,4
3,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4
4,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4
4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3
3,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,3
4,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,4
2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,2
2,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3
2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,3
3,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,3
3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3
3,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,4
4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,4
4,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5
4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3
3,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,5
4,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3
2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,3
3,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,3
4,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,4
3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
3,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
3,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,5
1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2
3,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,3
2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3
4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
3,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,5
4,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,4
3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,3
2,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3
4,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,4
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,3
4,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,4
4,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3
3,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,4
2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2
3,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,3
3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
3,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,3
3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3
4,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4
4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4
3,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3
4,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
3,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,3
